"item"	"morph"	"lexicality"	"complexity"	"structure"	"morph_gender"	"token_gender"	"boundary_cue_ortho"
"bloudage"	"age"	"pseudo"	"complex"	"suffix"	"morph_neutral"	"NA"	"-0.6709788"
"flonage"	"age"	"pseudo"	"complex"	"suffix"	"morph_neutral"	"NA"	"-0.709932"
"gloutage"	"age"	"pseudo"	"complex"	"suffix"	"morph_neutral"	"NA"	"-0.690083"
"kliftarian"	"arian"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-0.690083"
"mureckarian"	"arian"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-0.208975"
"olabarian"	"arian"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-1.5039613"
"frowlation"	"ation"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-1.1502203"
"olufation"	"ation"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-1.212312"
"trungation"	"ation"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-1.2830153"
"broutbird"	"bird"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	NA
"loundybird"	"bird"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	"1.0334989"
"rucobird"	"bird"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	"-0.89548"
"clumcase"	"case"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	"1.2012144"
"pelpcase"	"case"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	NA
"snoshcase"	"case"	"pseudo"	"complex"	"compound"	"morph_woman"	"NA"	NA
"abriocide"	"cide"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-0.7712257"
"nuxucide"	"cide"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"-1.4466557"
"octadycide"	"cide"	"pseudo"	"complex"	"suffix"	"morph_man"	"NA"	"0.7303372"
"clebcut"	"cut"	"pseudo"	"complex"	"compound"	"morph_neutral"	"NA"	"0.8527663"
"drouchcut"	"cut"	"pseudo"	"complex"	"compound"	"morph_neutral"	"NA"	NA
"flautcut"	"cut"	"pseudo"	"complex"	"compound"	"morph_neutral"	"NA"	"0.4330963"
"lonter"	"er"	"pseudo"	"complex"	"suffix"	"morph_neutral"	"NA"	"-1.2900968"
"plorner"	"er"	"pseudo"	"complex"	"suffix"	"morph_neutral"	"NA"	"-1.1255941"
